label,count
THRESHOLD,1
DL_ALIAS,1
EMP_1_EMAIL,1
EMP_2_EMAIL,1
EMP_3_EMAIL,1
EMP_A_CORPKEY,1
PRODUCT_NAME_1,1
EMAIL_2,1
PRODUCT_NAME_2,1
ELIGIBILITY,1
HOUSEHOLD_DATA,1
ID_NUMBER,1
APPROVAL_AUTHORITY,1
APP_NAME_1,1
APP_NAME_2,1
EMAIL_3,1
EMAIL_1,1
REVIEW_FREQ_B,1
LINK_Q1,1
POLICY_C,1
REVIEW_FREQ_C,1
START_DATE,1
DOCUMENT_TYPE_1,1
DOCUMENT_TYPE_2,1
LINK_1,1
LINK_2,1
LINK_Q2,1
DOC_REFS,1
LINK_Q3,1
LINK_Q4,1
YEAR_RANGE,1
OWNER_MATRIX,1
IT_CUSTODIANS,1
CONFIG_GROUP_LIST,1
FIRST_NAME_LIST,1
AGREEMENT_ID/TYPE/STATUS,1
